,source,edge,target
1669,When simplification expenses,are,cosmetic operating expenses
1670,62  business,based on,unpaid  workers
1671,insofar starting they,are,starting amount
1673,Additional  profits,are,when  this
1677,required  allocation,is,wage .
1678,temporary  who,include,temporary  workers
1679,Contractors,made available,certain  ordering
1682,they,deducted,when  .
1684,54 § EStG,come into,consideration
1687,Book keeping Book farmers,​​The current,average livestock values
1688,average  values,apply to,other work horses
1689,Breeding,are,horses
1690,72  .,applies,72  apartment
1691,other inheritance I,ask,following control cases
1692,that,disclose,fixed  unit
1694,cases,cases without,responsible tax field audit
1695,also wage expenses,applies,profit determination
1696,assessment ​​to,ask,when  profits
1701,1974/75,deviating from,legal  situation
1703,4000  Stpfl,No,voluntarily operating expenses
1706,question,asked,legal  Wj
1707,previously profit limit,EStG,Section 13a
1711,1974/75,requested,average  Wj
1713,accounting profit,estimated,accounting obligation
1714,Only  request,given,Wj
1715,profit,Az,7 1 1976
1720,22  I,point,23  2
1721,1974 income tax assessment,persist,final  report
1722,proper  they,No,reference rates
1726,special  estimate,applies in particular,actual  income
1727,average Section EStG,BStBl,1  EStG
1730,Therefore  profit,no,3  Section
1731,3  GDL,calculated,Wj
1733,1 c EStG,No,also  Section
1736,profit,No,accounting obligation
1737,transitional  I,ask,7 RdF 1935
1742,agricultural EW basis,are,13a EStG
1743,IT department,sent,agricultural branch companies
1746,22 EW notifications,had,certain  cases
1747,EW notifications,checked by,tax which
1748,tax liability,limited to,which
1749,tax who,no,special tax branches
1750,comparative c value,use more,7000  DM
1751,operational  processes,no,average  rates
1754,DM,no,agriculture
1755,usually  sum,is,comparison DM
1757,clearly tax liability,(,Vz
1759,1974 tax return,evaluated in,1975  assessment
1761,1973/74,limited to individual,individual  cases
1762,yet income tax returns,ask,EW reports
1763,statutory exclusion period,expired on,5  December
1764,partial  FMS,Az,11
1765,75  911,announced with,13 12 St
1766,farmers,is,entire  deadline
1767,I,ask,applications
1768,partial  Stpfl,are,reasonable  period
1773,basic 1975/76 regulations,apply,2  4
1774,financial book I,set,growing material areas
1775,when  grapes,remain unchanged,third  parties
1776,sums,based on,bookkeeping survey farms
1777,cultivated vineyard area,are,60  hectares
1778,100 pest DM,are deductible,additional material helicopter
1781,general lump they,are,general lump which
1782,However  subsidies,taken into,agricultural trade account
1783,association Rheinhessen Pfalz,pays,z
1785,highest building costs,costs,lowest  framework
1786,framework rates,that,careful tax examination
1787,individual building cost which,determine,best building municipality
1788,neighboring tax offices,seems advisable,good  time
1789,individual  I,ask,financial  administration
1790,construction,has,flat  church
1791,flat  rate,No,13a Paragraph
1794,I,ask,individual rate building December
1795,corresponding report template,dispensed with,previous framework rates
1796,flat  rates,include,pressing cellar building
1797,3 phylloxera expenses,are,flat building costs
1802,individual tax office,taken into,uniformly  account
1803,general lump sum,is deductible,useful  life
1804,soon  vines,ends,vines
1805,depreciation,permitted from,longer  point
1806,more  productivity,is,fallow  areas
1807,regardless  they,taken into,extraordinary  depreciation
1808,lump sum,is,300  hectare
1809,increased phylloxera depreciation,considered for,contaminated  municipality
1811,only  recognition,is,1964
1812,increased  depreciation,listed with,last  time
1813,growing phylloxera contamination,reference to,initial  Appendix
1814,again phylloxera contamination,found,when  which
1815,suitable  measures,provide suitable,additional phylloxera expenses
1816,growing  communities,marked,overviews
1817,a,required for,increased lump depreciation
1818,2  municipality,noted,established phylloxera 1975
1819,I,refer to,corresponding  Appendix
1820,4 wage expenses,are,only business taxpayer
1821,flat material which,noted,viticulture
1822,taxpayers,is,05  01
1823,temporary recording obligations,set,flat Income Tax Act
1826,insofar  they,ask,also business tax
1827,1  you,St,it
1828,estimate,permitted,temporary  wages
1830,1973 13a GDL,replaced by,13a EStG
1831,preclusive Section profit,Section,3 Section DM
1832,accounting reference,made to,127  1975
1833,operating operating provisions,observed,Section
1834,also  he,applies,surplus profit determination
1835,6  scheme,results from,3 13a EStG
1836,basic  amount,Abs,13a
1838,12  part,is,basic  amount
1839,initial  value,No,decisive unit value
1840,crops  hectare,values ​​for special,special  uses
1842,special  uses,exceed,unit DM
1843,special  uses,include,forestry use
1844,allocation,is,financial year this
1845,when unit value,taken into,only  account
1846,initial  share,No,initial  value
1850,initial c value,is,leased  area
1851,conditions,taken into,financial  account
1852,leased yield this,applied,leased yield area
1853,Leased  areas,are,50  DM
1854,leased income value,derived from,own hectare business
1855,comparative  value,are,recorded property area
1856,above  it,determined in,valuation law
1857,comparative  values,ensured,used  areas
1858,that,No,agricultural  assets
1860,agricultural  operations,done,paid  workers
1861,Therefore  value,added to,basic business amount
1866,only  themselves,is,farm
1867,3 Section EStG,is,account
1868,initial  value,i,special value uses
1870,4000 income reduction,required,when time work
1871,when  determining,no,maximum  Section
1873,value,No,physical 13a Para
1874,number,appropriate for,establishment
1875,007  VAK,are,hectare
1877,appropriate c number,determined in,individual  case
1878,full time workers,No,employment
1880,This,applies,temporary  workers
1881,6 Income Tax wages,divided according,special  uses
1882,information,followed,income tax return
1883,previously  workforce,ask,cent
1884,actual  circumstances,reference to,distribution February
1885,same  procedure,followed,free  business
1886,simplification rule,is,different Felsmann Income section
1887,Table,serve as,special labor guide
1888,company value,is,basic  amount
1891,physical work performance,applied,entirely  consideration
1892,himself  management,applied in full,other  hands
1894,several  value,needs,only  account
1895,3 Section they,sentence,agriculture
1896,leased  areas,is,agricultural business assets
1897,permissibly business they,EStR,express withdrawal process
1898,leased  they,are,cent
1900,similar property amounts,are,lessor
1903,other operating that,EStG,initial  value
1904,breeding this,Profits from,least 13a DM
1905,surcharge,recorded,operating  income
1907,third wage Sales,announced by special,special sire orders
1908,income,determined by,special  uses
1910,surcharges,are,single Income Tax unit
1911,Losses,offset against,special  uses
1912,total  loss,lead to,8 Income Tax Regulation
1913,i,To,income
1914,Section EStG,cultivation,industrial  vegetables
1915,26  value,is,specifically unit value
1916,family members,includes,residential  purposes
1917,senior  value,is,total living space
1918,proportion,are,senior  cases
1919,actual  ratio,of,living  documents
1920,rent Rent,paid,leased  business
1921,rent,deducted,one  apartment
1922,wholly  that,No,initial  value
1923,1 c EStG,are,basic  amount
1924,They,EStG,when operating surcharge
1925,rent,paid,basic operating amount
1926,operating expenses,are,basic  amount
1928,business it,is unlimited,amount
1929,This,applies to,also mortgage profit levy
1930,due  which,taken into,when business surcharge
1931,2 business these,EStG,unit valuation
1933,well property tax burden,taken into,already unit assessment
1934,partial retirement reference,made to,July
1937,General2 Flat rate building,Subsidies from,mixed calendar year
1938,basic 1976/77 regulations,apply,2  5
1939,1976/77 financial 1976/77 I,set,growing material areas
1940,following,remain unchanged,full labor ha
1941,real construction costs,based on,bookkeeping survey farms
1942,cultivated vineyard area,are,60  hectares
1943,100 pest DM,are deductible,additional helicopter spray
1946,general lump they,are,general lump which
1947,However  subsidies,taken into,agricultural trade account
1948,association Rheinhessen Pfalz,pays,z
1950,highest building costs,costs,lowest  framework
1951,framework rates,that,careful tax examination
1952,individual building cost which,determine,best building municipality
1953,neighboring tax offices,seems advisable,good  time
1954,individual  I,ask,financial  administration
1955,construction,has,flat  church
1956,flat  rate,No,13a Paragraph
1959,I,ask,individual rate building December
1960,corresponding report template,dispensed with,previous framework rates
1961,flat  rates,include,pressing cellar building
1962,insofar debt it,tanks,agricultural producer market
1963,3 phylloxera expenses,are deductible,flat income tax return
1968,individual tax office,taken into,uniformly  account
1969,due area phylloxera contamination,is,prone  vineyards
1970,regardless  they,deduct,increased material depreciation
1971,remaining,assumed,useful  vineyards
1972,increased  depreciation,considered for,phlebotomic  community
1973,lump sum,begins in,root book vines
1974,Appendix,lists,where  initial
1975,contamination,is,twelve year period
1976,flat  rate,contains,increased  depreciation
1977,fallow prop vines,apply to,real  roots
1978,first  contamination,included in,Appendix
1980,only  vineyards,claim,real root vineyards
1981,when phylloxera infestation,is,when  which
1982,principles,are,initial  contamination
1983,planned land consolidation,St,circular  30
1987,basic  regulations,dated,2  6
1988,financial book I,set,growing material areas
1989,following,remain unchanged,third  parties
1990,sums,based on,bookkeeping survey farms
1991,cultivated vineyard area,are,60  hectares
1992,100 pest DM,are deductible,additional material helicopter
1995,flat  rates,cover,pressing cellar building
1996,3 gen phylloxera expenses,are deductible,flat building costs
2000,undetectable  that,allotted to,expansion
2001,individual tax office,taken into,uniformly  account
2002,due area phylloxera contamination,vineyards,infested  root
2003,regardless  they,deduct,increased material depreciation
2004,remaining,assumed,useful  vineyards
2005,increased  depreciation,considered for,phlebotomic  community
2006,lump sum,begins in,root book vines
2007,Appendix,lists,2  initial
2009,flat  rate,contains,increased  depreciation
2010,grafted phylloxera that,apply to,grafted phylloxera vines
2011,first  contamination,included in,Appendix
2013,only  vineyards,claim,real root vineyards
2014,when phylloxera infestation,is,when  which
2015,principles,are,initial  contamination
2016,business I,refer to,4  Rdvfg
2017,planned land consolidation,is through,Rdvfg
2019,profit,no,specifically unit value
2021,value,Paragraph,3 keeping EStG
2022,value,is,applicable accounting Rdvfg
2024,insofar  they,deducted from,gross operating use
2027,St II,A,175/1 AO card
2031,income tax which,In,6 FG-2032 May
2032,follow  decision,is,basic  decision
2033,I Senate,decided,yet income tax a
2034,Depreciation company,taken into,decision
2035,IV Senate,decided in,October
2036,residence tax office,declared,basic income tax assessment
2037,however tax office,have,own tax bases
2038,entirely income tax decision,ignore,correct tax assessment
2039,basic income tax assessment,1 With,income tax assessments
2040,assessment regulations,remain for,far  time
2042,company  community,against,responsible tax it
2043,partial advance payments,p,already BFH January
2045,uniform  determinations,are,owner associations
2046,so  loss,set at,provisionally  DM
2048,loss allocation company,applies,90  events
2049,uniform  determinations,ask,preferentially loss allocation societies
2050,North regulations,IS,same BMF day
2054,estimate,is,only loss allocation company
2056,Pending suspension proceedings,are,legal  decree
2060,Administration Frankfurt IG Metall,sending,affected works councils
2061,Union shop stewards,sent about,strike support
2062,communication,reflects,legal  situation
2063,generally  wages,support,company
2064,Federal Fiscal Court,decided,model trial
2065,called strike support,taxed at,extraordinary tax income
2066,Naturally  employer,withhold,strike support
2067,They,reported to,when income tax
2068,However  taxation,take,actually income tax cases
2069,other income tax income,remains,income tax assessment
2070,certain income income,taken into,800 calendar year
2071,full  income,begins in full,calendar year
2072,single  income,apply to,extraordinary business DM
2073,together  income,applies to,"48,000 calendar year"
2074,special income example,is,single family house
2075,strike support,indicated in,annual income tax adjustment
2076,strike that,is of,1978  course
2077,tax office,asked,usually strike support
2078,related union expenses,claimed,strike support
2085,relevant  he,has,structural tax measure
2086,extent,is,funding
2087,other tax way,states,extra tax relief
2088,tax  subsidies,are,ModEnG
2091,decision,made,solely licensing authority
2093,factual licensing authority,provide,decision
2094,tax that,proceed,3 7 B
2095,already tax number,provided,application
2096,application applicant,declares,granting tax advantage
2097,tax office,ModEnG,tax meaning
2098,already tax copies,included in,tax files
2099,Otherwise  they,are,alphabetical tax order
2100,tax law requirements,granted,tax Section
2101,granting authority,informed with,file authority
2102,benefit,reported,Section
2103,number,is,clear control beneficiary
2104,mentioned  copy,has,approval
2105,This,be in,V files
2106,notification,checked,approval
2107,anyway  deductions,reference to,2  page
2108,same  subdistrict,proceed in,same  way
2109,already  which,III On,tax grant
2110,grants,declare,assessment year
2111,increased takeover deductions,made,first  time
2113,sub district,has,approval authority
2116,5 assessment decisions,published in full,full  future
2117,Changes,indicated by vertical,vertical  lines
2118,1981 Federal I,p,27 Federal 03
2119,4 Section EStG,is decisive,Section 13a
2120,long  they,.,22 valuation para
2121,4 Section EStG,met,only Section 13a
2124,average  number,EStG,sustainably Section 13a
2125,term reference,made to,Section
2126,therefore  number,EStG over,financial Section years
2127,3 Section EStG,met from,financial  year
2128,other  livestock,increased in,permissible  limits
2129,maximum  limits,apply from,first  time
2130,1 Section EStG,converted into,Annex
2131,to 8 EStG,determination according,2 13a EStG
2132,3 Section EStR,observed,basic Section 13a
2133,business,BewG,paid  workers
2134,Section EStG,added to,basic  amount
2136,initial 13a Paragraph,applicable,individual  case
2137,paid  workers,EStG,full time 13a
2138,well term who,applies to temporary,certain  ordering
2140,13a  Abs,contained,4  uses
2141,activities,work,special  uses
2142,business relatives,applicable,business
2144,also labor that,serve as,special  uses
2145,value,EStR,part time 15
2146,Reference,EStR,2 Section EStG
2147,rent,includes,also ground rent
2148,basic  it,compensated by,initial  value
2149,8 EStG Reference,EStR,Section
2150,that,are,initial  example
2151,secondary  that,is,retired wage system
2152,company  which,.,Section 13a
2153,You,103,basic  amount
2154,8 13a EStG,are,operating  income
2155,profits,are,1  EStG
2156,following breeding guidelines,serve as,guide
2157,application,p,12 1965 BStBl
2160,individual sales proceeds,boars,paid sows700 workers
2161,initial  they,taken into,initial  values
2162,above  prices,is,valuable breeding animals
2163,initial  value,results from,normal animal husbandry
2164,1964.If vegetable growing,is,8 Income Tax Act
2165,Vegetables,grown in,main crop crop
2170,cultivation,is,agricultural crop rotation
2171,It,is,horticultural vegetable use
2172,horticultural income fluctuates,"80,000 per","15,000  hectare"
2173,You,are dependent,z
2177,profit,influenced by,weekly  market
2178,vegetable,In,growing  areas
2179,operating  income,is,particularly  which
2180,correct  estimate,is,individual  cases
2182,horticultural Fruit income,fluctuates,i
2184,They,depend on,age soil
2186,Late  frosts,lead to lower,lower  income
2189,profit,influenced by,weekly  market
2192,family members,BewG,residential  purposes
2193,senior  value,no,10 unit para
2194,charges  Reference,EStR,2 Section EStG
2195,Interest subsidies,reduce,deductible debt interest
2197,following,considered,residential 7b EStG i
2198,increased § 7b it,noted,§ 7a Abs
2200,However tax relief,lead to,still  agriculture
2201,higher  deductions,taken into,1984 II p
2203,8) Section EStG,taken into,when  profit
2204,31 operating Scope,made to,application Section
2205,Average livestock values,EStR,when ​​The Section
2206,Otherwise  reference,431,Sect
2207,Value  reference,.,ESt card index
2208,value,is,even  farmers
2211,value,EStG,permanent  Section
2214,Cattle surcharges,AO,economic value Section
2215,even  they,i,yet § §
2216,1  BewG,made,22  para
2217,over business reference,St,12 01 1984
2218,12 BMF I,S,12 BMF 1981
2220,44  Determination,made,Average livestock values 125
2221,onwards business reference,St,17  071981
2222,442  Value,applies,apartment Section
2223,proper  profit,is,162  AO
2224,3 Section they,keep,3  EStG
2225,estimate,has,Section
2227,Section,sentence,account
2228,profit,be,estimate
2229,however  who,are,tax cooperation obligations
2230,estimation method,is,individual tax office
2231,where  basis,made,subject  review
2232,explanatory  text,included in,notification
2235,162  you,estimated according,winnings
2236,you,declared,books
2237,higher  tax,set,higher  estimated
2239,However  you,by,further  §
2241,failure,like,already tax risk
2242,individual estimation method,is,particularly operating result
2244,521 Lease income,Surcharges for,522 starting profits
2249,guideline rates,intended as,accurate  profit
2251,individual  conclusions,is,entire  business
2252,application,p,12 1965 BStBl
2254,financial pasture grassland,share,71  percent
2259,LN,is in,20 sugar beet %
2260,starting amount,increases to,DM
2262,Additional  portion,added to,200 root DM
2265,LN1800 .,apply,LN1800 DMc
2267,agricultural production areas,belong to,agricultural  use
2270,Areas,included,house gardens
2273,Sugar beet share,depends on,respective marketing year
2274,root crops,include,only catch crops
2276,field forage areas,belong to,field
2278,reference,made to,1983  St
2280,starting they,are,agriculture
2282,Hereditary  assets,belong to,agricultural business assets
2283,523  Surcharges,settled with,starting amount
2284,sustainable operating that,are,starting amount
2287,surcharges,are,operating  income
2289,valuable animals Section,applies,5231 breeding cattle
2290,normal animal population,settled with,starting amount
2291,which,found in,also starting Annex
2295,forage area,includes,context
2297,When Section Paragraph,used,2 Income Tax Regulations
2298,average  herds,are,to Appendix L
2300,financial  stock,is,exclusively  cent
2301,so  they,deducted,account
2302,agricultural Field vegetable cultivation,understood,agricultural crop rotation
2303,distinction,made between,cultivation vegetable replica
2304,financial field vegetable,is,"5,000 starting reduction"
2305,It,is up,actual field vegetable growing
2308,remaining  amount,is,hectare starting area
2309,standard  rates,take into,account wages
2310,horticultural  Section,applies,accordingly  profit
2313,horticultural Fruit Section,applies,accordingly  profit
2316,Value  Section,applies,Value  apartment
2317,always  expenses,applied,when starting amounts
2318,521  company,based on,unpaid  workers
2319,insofar starting they,are,starting amount
2320,treatment,paid for,starting amount
2322,individual wage Section,Nos,individual wage cases
2324,well  who,include,well  workers
2325,Contractors,made available,certain  ordering
2326,wage expenses,are,25 wage %
2332,they,523,when  Sect
2333,lease payments,are,attributable starting amount
2334,also  that,covers,already operating expenses
2336,therein  which,are,such  expenses
2339,individual  it,justified,10  percent
2341,business,taken into,owner
2342,Insofar  depreciation,is due,other  business
2343,lessor,are,"15,000  LN"
2344,It,is up,detail
2347,increased  deductions,EStG in,2 starting percent
2349,76 starting register,see,7 5 St
2350,I,ask,income tax file
2351,high depreciation amounts,is,account
2353,initial  amount,increased for,remaining  use
2354,future  directory,provided with,corresponding income tax note
2355,following Retirement values,used as,4930 age heating
2356,however  requests,are,pro energy bills
2358,partial  benefits,checked in,individual  case
2361,existing retirement reference,St,10 1984 10 S-2221
2362,body,is,individual  taxpayer
2363,that,disclose,fixed  unit
2365,that,summarized on,4 Annex L.
2366,therefore  livestock,ask in,obviously animal area
2367,41 assessment body,informed by,4 Annex L.
2371,same,applies to,free  charge
2372,This,St,3  4
2373,I,ask,lessee Annex lessor
2375,cases,cases without,responsible tax field audit
2376,also wage expenses,applies,when  profit
2378,possible  profit,evaluated,possible  which
2379,assessment ​​to,ask,when  profits
2382,34  inclusion,For,mixed calendar year
2383,basic  regulations,apply,2  6
2384,financial book I,set,growing material areas
2385,when  grapes,remain unchanged,third  parties
2386,sums,based on,bookkeeping survey farms
2387,larger lump sums,reduced by,20  %
2388,cultivated vineyard area,reduced,60
2389,300 pest ha,are deductible,additional material helicopter
2392,which,are,general lump Rdvfg
2394,flat  rates,include,pressing cellar building
2395,insofar debt it,requirements of,agricultural producer market
2396,3 phylloxera expenses,costs flat,rate income tax deductible
2401,individual tax office,taken into,uniformly  account
2402,due area phylloxera contamination,is,prone  vineyards
2403,regardless  they,deduct,increased material depreciation
2404,remaining,assumed,useful  vineyards
2405,increased  depreciation,considered for,phlebotomic  community
2406,lump sum,begins in,root book vines
2407,Appendix,lists,where  initial
2408,contamination,is,twelve year period
2409,flat  rate,contains,increased  depreciation
2410,that,cut,roots
2411,first  contamination,included in,Appendix
2413,only  vineyards,claim,real root vineyards
2414,when phylloxera infestation,is,when  which
2415,principles,are,initial  contamination
2416,business I,refer to,4  Rdvfg
2417,planned land consolidation,is through,Rdvfg
2419,6  I,refer to,6  Rdvfg
2422,11 1975 Income who,For,mixed calendar year
2423,basic  regulations,dated,2  5
2424,25 6 1980 I,S,25 6 1980 BStBl
2425,400,is,1980  assessment
2426,changes,dealt with,next  year
2427,special  circular,issued on,1979  assessment
2428,financial book I,set,growing material areas
2429,also  reduction,remains unchanged,third  parties
2430,larger lump sums,reduced by,20  %
2431,cultivated vineyard area,reduced,60
2432,additional material costs,are deductible,helicopter
2435,flat  rates,include,pressing cellar building
2436,3 phylloxera expenses,deductible,flat building costs
2441,individual tax office,taken into,uniformly  account
2442,due area phylloxera contamination,is,prone  vineyards
2443,regardless  they,deduct,increased material depreciation
2444,remaining,assumed,useful  vineyards
2445,increased  depreciation,considered for,official  congregation
2446,lump sum,begins in,root book vines
2447,Appendix,lists,where  initial
2448,contamination,is,twelve year period
2449,flat  rate,contains,increased  depreciation
2450,grafted phylloxera that,apply to,grafted phylloxera vines
2451,first  contamination,included in,Appendix
2453,only  vineyards,claim,rooted  vineyards
2454,when phylloxera infestation,is,when  which
2455,principles,are,initial  contamination
2456,planned land consolidation,St,more  circular
2457,Value  I,refer to,tax Rhineland Palatinate agriculture
2458,2 harvest yields,amounted to,total marketing total
2461,same tobacco area,increased by,previous  year
2462,favorable weather conditions,allowed good,good  yields
2463,average  income,was,previous  year
2464,However  communities,affected by,particularly hail damage
2465,gross  income,recorded as,decisive operating income
2466,financial  they,costs,growing  areas
2467,lump sum,see,special tobacco section
2468,previous irrigation costs,settled with,financial lump year
2469,high depreciation amounts,arise in individual,individual  cases
2470,which,covered by,flat rate building costs
2471,depreciation,is,manufacturing manufacture
2472,separate  deduction,is,hanging Rülzheimer device
2473,dry  sheds,assumed,25  years
2475,however assessment it,noted,above
2476,Tobacco flakes,subsidized,partially  Section
2477,flat building cost amount,includes,620  DM
2478,above lump sum,is,7380  DM
2479,repair,noted,also lump question
2480,tobacco association,intends,1972/73 marketing year
2481,corresponding income tax that,left to,corresponding income tax declarations
2482,5 wage expenses,are,only operating taxpayer
2483,tax e-35 EStG tobacco,growing,22 11 1971
2484,4 Agenda Tasks,see,3 Item Rdvfg
2485,final property tax assessment,corrected,subsequent income tax liabilities
2487,6  who,i,other  assets
2489,higher income taxpayers,i,other  assets
2491,standard wealth tax revenue,rose in,4972 million
2492,which,distributed in,different tax ways
2493,90  %,came from,Kassel administrative region
2494,other wealth tax,explained on,central tax offices
2495,Globally  Kassel,ranks,Hessian wealth tax revenue
2496,37 wealth tax,collected per,capita
2497,least  you,are,other revenue tax
2498,therefore  what,is,tax offices
2499,individual reference number,increasing,subject wealth tax
2500,80 reference which,moved from,approx
2502,rapid  increase,is,corporate law taxpayers
2503,liability law considerations,lead to,near growth future
2504,increase,had,further Kö area
2506,number,experienced,drastic 1 1
2507,It,decreased by,reference date
2508,25 OFD Vfg,corresponds to,25  %
2509,1979  S-3108,vom,sized St businesses
2510,uniform business maintenance,pay particular,always code SGL
2511,more  staff,have,existing  levels
2517,1978 Federal Law I,p,25 Petroleum Storage July
2520,5,change,also Valuation Act
2522,Article,contains,18 declaration obligation
2523,"20,000 taxation Article",provides for,also  Section
2524,Section,provides for,50 wealth tax
2525,further  which,proposed further,110 wealth tax Paragraph
2526,editorial BFH that,limited to editorial,meantime
2527,1 wealth Adjustment,reduced from commercial,commercial tax capital
2529,common tax value,are,object
2530,obligation,is,therefore  cent
2532,Section,value of,30  %
2533,only  that,applies to,main  assessment
2534,that,are,31  December
2536,residual  value,is,cent
2538,only  they,are,only  assets
2539,vocational training who,employed,vocational training place
2540,4 VSt HSGL,has in,separate wealth communities
2541,doubtful work that,determination of,administrative  above
2543,VSt HSB,has,VSt tasks
2544,main Agenda determination,values,BV wealth cases
2546,unit value,obtained,commercial wealth tax
2547,unit value,assumed,balance sheet
2548,many  it,suggested,practically  limit
2549,what,have,future
2550,1980 unit value,i,commercial  capital
2551,"120,000  allowance",of,also wealth tax
2552,this,decided,assets
2554,unit value,invalid,commercial wealth tax
2555,different  that,set,commercial  establishments
2556,wealth I,had in,Rdvfg
2558,7  who,asked,"250,000 wealth tax the"
2559,HMdF,instructed,test note cases
2560,experiences,gained in,property taxpayers
2561,tax offices,had,two  borders
2562,already wealth processing,pointed,extra  work
2563,GKB reference VN,implemented due,programming difficulties
2564,taxpayer,showed,therefore tax files
2565,when tax entry tax,noted,wealth tax
2567,546,printed,tax 1981
2568,then tax returns,use,1  1
2570,1979 tax balance information,achieved through joint,previous income tax assets
2572,I,a,Tax Hessen
2573,Kassel,pointed,main property tax assessment
2575,joint  processing,is,also tax advisory professions
2576,automatically wealth tax 1,taken into,code
2577,two wealth tax items,are,entry form
2578,then income tax assessments,are,folder
2579,It,proven expedient,wealth tax returns
2580,interactions,adopted,new income tax account
2581,wealth tax improvement,lose,work
2582,Shares,taken into,when business assets
2584,especially  parties,No,general assessment March
2587,movable  assets,guarantee,1  1
2589,estimated  number,sent to,tax offices
2590,tax I,appointed,Tax Frankfurt
2591,Kassel,informed about,accordingly tax offices
2592,when  attention,paid to,other tax offices
2593,business assets,are,before machine process
2594,instructions,apply for,automatic wealth method
2595,Manual processing,required in,exclusion Subject
2596,financial  this,required,compelling  reasons
2597,1980 assessment it,checked,main  assessment
2598,assets value updates,required on key,key  dates
2599,result,is,record
2601,using,check,Preliminary value BV
2603,limits,check,value updates
2604,result,is,record
2605,conditions,is important,exemptions
2607,result,is,record
2608,declaration,sent to,key  date
2610,14 wealth VStG,assessed,wealth Section
2611,2 tax office,is responsible,separate assets assets
2612,valuable  part,AO,property
2613,also tax which,is,separate  income
2614,when tax return,stipulate,separate  communities
2615,149  who,obliged,also tax return
2616,request,made by public,public  notice
2617,1 calendar value,According to,together wealth tax
2619,Communities,obliged,separate estate determination
2620,few  communities,become,public  request
2621,therefore tax offices,Lg,separate  Vm
2625,only  it,applies,asset participant
2626,together  cases,is,lesser  importance
2627,wealth tax he,has,community
2628,limited  that,involved in,files
2631,54 Calculation forms,are to,3  Lg
2633,notification,is,also  blocks
2635,total  assets,i,other business assets
2637,foreign wealth that,of,this
2638,other exemption participant,is necessary,only wealth tax assessment
2641,that,applies to,total  taxpayer
2642,preservation,Objects,public  interest
2643,43  Debts,are,separate  determination
2644,division,carried,regardless  person
2645,however  taxpayer,have,claims  himself
2646,claim,reduced in,attributable wealth tax community
2647,tax office,identify,corresponding tax residence
2648,local tax office,has,overall  community
2649,3 wealth tax assessment,taken,13 HMdF 11
2650,A,has,1/4 community heirs
2651,He,granted,rental  property
2653,tax office,has,"150,000  DM"
2654,"30,000",taken into,debts
2655,allotted,is,A
2656,tax office,made,heirs
2657,"22,500  DM",taken into,"150,000 heirs DM"
2658,limited tax share,included in,separate asset assessment
2659,portion,decided upon,10  VStR
2660,share,is,a wealth hundred
2661,that,are,when unit value
2662,that,decided during,separate asset assessment
2663,special  division,carried,special  system
2664,decision,challenged,10 wealth tax parties
2665,I,suggested,that
2667,GKB  V,is,V card index
2668,AO delay surcharge,set in,separate  determination
2669,assessment basis,is,late tax effects
2671,1976 § I,S,4 § BStBl
2674,assessment they,are,one  time
2675,amount,is,one wealth tax
2677,it,corresponds to,cent
2679,late assessment base,is,late assessment surcharge
2681,late  surcharge,be,§
2686,seriously  it,ruled on,set basis acc
2687,2  AO,authorized,individual  cases
2688,This,applies in,1978 1 Rdvfg
2689,late St surcharges,are,previous  principles
2690,execution,is upon,accordance
2692,decision,are in,late  accordance
2693,2  complainant,postpone,2  AO
2694,1979 sales tax I,p,other sales tax 26
2695,that,submitted,calendar year
2696,legal  basis,created for,set  period
2697,Carrying,are,one asset year
2698,new  it,dates,wealth participant
2699,extent,is irrelevant,value
2700,separate asset participant,has,wealth tax assessment
2701,significantly shareholdings this,assets of,new  participants
2703,1 BewG that,refer to,business Section
2705,Basically replacement costs,are decisive,partial  value
2706,individual selling price,used,exceptional  cases
2707,partial  value,prescribed for,fixed  assets
2708,partial tax balance this,taken,usually  valuation
2709,Often  value,correspond to,partial tax balance value
2710,valuations,need,commercial business assets
2711,principles,costs Lower,Lower limit material
2713,individual selling that,price for,individual selling assets
2714,that,include,actual valuation date
2715,acquisition replacement costs,are,valuation date
2716,normal  wear,deducted from,this
2717,lower linear deduction deduction,taken into,52  Paragraph
2719,Here price changes,taken into,when replacement costs
2720,which,is,exceptionally income tax valuation
2722,DMcc replacement that,assets,ago valuation date
2724,industrial price time,taken into,technical valuation account
2725,Acquisition costs,development on,140 DM Price %
2728,that,percent,years valuation date
2732,Acquisition costs,development on,180 1 %
2734,DM,DM,minimum replacement cent
2736,tax office review,shown,repeatedly  difficulties
2739,higher tax balance which,sheet,full  DM
2741,such  complaint,is appropriate,valuation
2742,complaint,has,taxpayer
2744,company,is,company audit
2745,standard valuation notification,appears appropriate,subject  review
2746,standard value values,shown,partial company audit
2748,42  u,is,April
2749,You,​​of,movable  Sections
2751,partial  values,necessary,movable  determination
2753,484 camp c,serve,also  taxpayers
2754,advisors,arrange,​​specified  assets
2755,general  assets,acquired,5  acquisition
2756,partial  value,be,this
2760,5200 DM acquisition application,granted,2200  DM
2762,partial DM value,determined with,40  %
2766,review,prepares on,fixed acquisition costs
2767,Production costs,are,such  assets
2768,review,is,balance sheet documents
2770,fixed  value,are,tax balance sheet
2771,partial product work,corresponds to,finished restoration costs
2772,1978 sales costs,incurred,reference date
2774,previous production costs,was contradictory,production area
2775,they,made clear,33  EStR
2776,administrative  costs,taken into,account
2777,that,A,HMdF decree HMdF June
