,sentence
1954,"If the building costs for the individual municipalities have been adjusted and determined in this way, I ask that professional representatives as official experts (about 2 to 3 representatives) to hear about the intended determinations without incurring costs for the financial administration"
1955,"If these representatives of the viticulture do not give their consent, although according to the operational structure and the actual circumstances, in particular according to the established development costs, a higher than the intended flat rate is not justified for the wine-growing community in question, the tax office has the construction costs flat rate for to fix this church itself"
1956,The setting of the flat rates is to be carried out in the form of a list with the following header: Wine-growing community-specific costs DM The flat rate for building costs determined in this way is for the assessment of all winegrowers (with profit determination according to § 13a Paragraph 6 No.
1957,1 EStG or
1958,according to Section 4 (3) EStG) in the relevant wine-growing community
1959,"I ask you to inform me of the flat-rate building costs fixed for the individual communities or groups of communities by December 30, 1977"
1960,"If, instead of the previous framework rates, only a uniform flat rate has been set, a corresponding report template can be dispensed with"
1961,"The flat rates include all material costs of the management including the depreciation on the depreciable assets and on the vineyards, the maintenance and repair costs and the vine replacement as well as the pressing and cellar costs (material costs of the cellar building and the storage barrels or"
1962,"Storage tanks), with the exception of: the sugaring costs, expansion costs and sales costs, the contributions for the insurance of the vines against hail damage, the reallocation costs of vineyard land within the scope of land consolidation, the lease interest on the viticulture property, the contributions for the construction of new vineyard roads, the on the basis of an official contribution statute, which corresponds to the regulations of the municipal tax law, the expenses for own systems for frost control in accordance with § 7 EStG and the contributions to soil and water associations, which are collected for the irrigation of vineyards, the debt interest including the Interest due on the HGA, insofar as it relates to the wine-growing assets, the sales tax amounts (payment burden) according to the UStG, the membership fees to producer groups according to the law for adapting agricultural production to the requirements of the market (market structure law)"
1963,"the flat rate for increased depreciation due to phylloxera contamination in accordance with the following number 3 The expenses listed under letters a to j are deductible in addition to the flat rate for building costs in addition to the flat rate for building costs in the amount shown in the ""Viticulture Annex"" for income tax return"
1964,"The through the racking and filling, etc."
1965,material costs incurred e.g.
1966,"for bottles, corks, labels and freight are also deductible in the proven amount in addition to the flat rates for the material costs"
1967,"To compensate for the proportionate, individually non-verifiable costs (for electricity, water, cleaning, etc.)"
1968,") In addition, a special lump sum, which the individual tax office has to determine uniformly for its district, must be taken into account"
1969,"3 Increased depreciation due to phylloxera contamination In communities in whose area phylloxera contamination is detected for the first time, there is a general shortening of the useful life of the non-infested, non-rooted and therefore phylloxera-prone vineyards"
1970,"To compensate for this, non-book-keeping winegrowers in the affected wine-growing communities, regardless of whether they are heavily or slightly contaminated, can deduct a lump sum of 300 DM per hectare of non-root vines in addition to the general lump sum for material costs as an extraordinary increased depreciation"
1971,An average remaining useful life of these vineyards is assumed to be 12 years
1972,The increased depreciation can therefore be considered for a maximum of 12 financial years from the year of official recognition as a phlebotomic community
1973,"If re-contamination is found in a community before the end of these 12 years, a new twelve-year period begins in which the lump sum is to be taken into account for all non-book-keeping winegrowers due to the increased depreciation for non-root vines"
1974,"Appendix 2 lists the municipalities where, due to initial or"
1975,Re-contamination of the twelve year period is still ongoing
1976,It also contains the year of the last detected contamination as well as the financial year for which the flat rate was last permitted due to increased depreciation
1977,"The increased depreciation does not apply to the following sub-areas of the entire vineyard: for the areas carved out because of the phylloxera infestation, for the areas planted with phylloxera-resistant prop vines and for the areas lying fallow after the vines have been cut from the real roots"
1978,Municipalities with re-contamination 12 years after the first contamination are not included in Appendix 2
1979,If there is renewed contamination in a municipality after the twelve-year period of the initial or
1980,"If re-contamination is detected, not all winegrowers in the respective municipality, but only those winegrowers whose vineyards are infested, can claim the increased depreciation for the remaining real-root vineyards"
1981,"The prerequisite, however, is that the vintner in question submits the decision from the phylloxera commissioner, which shows when and on which plots the phylloxera infestation was found"
1982,"In addition, the principles applicable to the initial contamination are to be applied accordingly"
1983,"4 Wage Expenses Due to the fact that claimed wage expenses are taken into account as operating expenses, I refer to the explanations under Section 4 of the Circular Decree of 12 11 1976 - S-2233 A - St 32 2 5 Grants from the EC for the reconstruction of vineyards The tax treatment of grants from the EC for the planned reconstruction of Vineyards after land consolidation is regulated in more detail by circular order of 30 9 1977 - S-2232 A - St 34 2"
1984,Accounting income tax / wage tax / church tax Rhineland-Palatinate agriculture
1985,Oberfinanzdirektion Koblenz S-2233 A - St 34 2S-2233 The system was not included
1986,EStG: 13aEStG: 4 / 1EStG: 4/3 income tax for non-accounting farmers; here: Determination of the profit from viticulture for the 1977/781 financial year. General For the income tax assessment of non-book-keeping winegrowers including owners of mixed businesses (viticulture and agriculture) for the calendar year 1977 or
1987,"for the determination of profits for the 1977/78 financial year, the basic regulations in the circular dated 24 11 1975 - S-2233 A - St 32 2 - apply; unless otherwise specified in the following paragraphs 2 to 6"
1988,"2 Flat rates for building costs To compensate for the building costs of the non-book-keeping winegrowers for the 1977/78 financial year, I have set the flat rates for the material costs per hectare listed in Appendix 1 for the various growing areas"
1989,"The following should also be noted: a) The reduction in the amount of 500 DM / ha for the full delivery of the grapes and mash to third parties should remain unchanged, as should the average values ​​of the required full labor force (VAK) per ha"
1990,b) The lump sums to compensate for the actual building costs are based on the size of the survey farms on the circumstances of smaller non-bookkeeping farms
1991,"As a more favorable utilization of machines and systems is usually possible for larger farms, the lump sums are to be reduced by 20% if the cultivated vineyard area exceeds 60 hectares"
1992,"c) In the case of pest control by helicopter, 100 DM / ha are deductible in addition to the general flat-rate amounts to compensate for the additional material costs per helicopter spraying"
1993,The number of helicopter injections and the area flown over in Wj
1994,"1977/78 by means of certificates from the Raiffeisenkassen, municipalities or other competent bodies"
1995,"The flat rates cover all material costs of the management including the depreciation on the depreciable fixed assets and the vineyards, the maintenance and repair costs and the vine replacement as well as the pressing and cellar costs (material costs of the cellar building and the storage barrels or"
1996,"Storage tanks), with the exception of; a) the sugaring costs, expansion costs and the sales costs, b) the contributions for the insurance of the vines against hail damage, c) the reallocation costs of vineyard land within the scope of land consolidation d) the rent due on the viticulture property, e) the contributions for the construction of new vineyard roads which are levied on the basis of an official contribution statute that complies with the provisions of the Local Taxes Act, f) the expenses for own frost control systems in accordance with Section 7 EStG and the contributions to soil and water associations that are levied for irrigation of vineyards, g) the debt interest, including the interest due to the HGA, insofar as it relates to the wine-growing assets, h) the sales tax amounts (payment burden) according to the UStG, i) the membership fees to producer groups according to the law for adapting agricultural production to the requirements of the market (market structure law ), j) the flat rate for increased depreciation we gen phylloxera contamination in accordance with the following number 3 The expenses listed under letters a to j are deductible above the lump sum to cover the material costs in the ""Plant Viticulture"" for income tax return in addition to the flat rate for building costs"
1997,"The through the racking and filling, etc."
1998,material costs incurred e.g.
1999,"for bottles, corks, labels and freight, are also deductible in the proven amount in addition to the package rates for the material costs"
2000,"To compensate for the proportionate, individually undetectable costs (for electricity, water, cleaning, etc.) that are allotted to the expansion and filling"
2001,") In addition, a special lump sum, which the individual tax office has to determine uniformly for its district, must be taken into account"
2002,"3 Increased depreciation due to phylloxera contamination In municipalities in whose area phylloxera contamination is detected for the first time, there is a general shortening of the useful life of the non-infested, non-root and therefore phylloxera-prone vineyards"
2003,"To compensate for this, non-book-keeping winegrowers in the affected wine-growing communities, regardless of whether they are heavily or slightly contaminated, can deduct a lump sum of 300 DM per hectare of non-root vineyards in addition to the general lump sum for material costs as an extraordinary increased depreciation"
2004,An average remaining useful life of these vineyards is assumed to be 12 years
2005,The increased depreciation can therefore be considered for a maximum of 12 financial years from the year of official recognition as a phlebotomic community
2006,"If re-contamination is found in a community before the end of these 12 years, a new twelve-year period begins in which the lump sum is to be taken into account for all non-book-keeping winegrowers due to the increased depreciation for non-root vines"
2007,"Appendix 2 lists the municipalities in which, due to initial and resp"
2008,recontamination the twelve year period is still ongoing
2009,It also contains the year of the last detected contamination as well as the financial year for which the flat rate was last permitted due to increased depreciation
2010,"The increased depreciation does not apply to the following sub-areas of the entire vineyard: a) for the areas carved out because of the phylloxera infestation, b) for the areas planted with phylloxera-resistant grafted vines and c) for the areas left fallow after the vines that are not rooted"
2011,Municipalities with re-contamination 12 years after the first contamination are not included in Appendix 2
2012,If there is renewed contamination in a municipality after the twelve-year period of the initial or
2013,"If re-contamination is detected, not all winegrowers in the respective municipality, but only those winegrowers whose vineyards are infested, can claim the increased depreciation for the remaining real-root vineyards"
2014,"The prerequisite, however, is that the vintner in question submits the decision from the phylloxera commissioner, which shows when and on which plots the phylloxera infestation was found"
2015,"In addition, the principles applicable to the initial contamination are to be applied accordingly"
2016,"4 Wage Expenses In view of the fact that claimed wage expenses are taken into account as business expenses, I refer to the statements under Section 4 of the Rdvfg"
2017,vom 12 11 1976 - S-2233 A - St 32 2 5 Grants from the EC for the reconstruction of vineyards The tax treatment of grants from the EC for the planned reconstruction of vineyards after land consolidation is through Rdvfg
2018,dated 30 9 1977 - S-2232 A - St 34 2 - regulated in more detail
2019,6 Value in use of the apartment The value in use of the apartment of the business owner and his relatives is recorded in cases in which the profit from viticulture is to be determined according to § 13a Paragraph 2 - 6 Income Tax Act (EStG) using 1/18 of the apartment value specifically shown in the unit value ( § 13a para 2 no
2020,5 EStG)
2021,"However, if only viticulture is carried out and Section 13a Paragraphs 2 - 6 EStG does not apply, the value in use of the apartment by non-book-keeping winegrowers must also be taken into account to increase profit in the context of determining the profit pursuant to Section 4 Paragraph 3 EStG or the estimate pursuant to Section 4 Paragraph 1 EStG"
2022,"In these cases, the value in use is to be determined in analogous application of the principles applicable to accounting operations (see Rdvfg"
2023,"dated 23 12 1975 - S-22 30 A - St 32 2 - Section I, point 5)"
2024,The actual expenses incurred for the apartment - insofar as they represent operating expenses - must be deducted from the gross value in use determined afterwards
2025,Income tax / wage tax / church tax Accounting Rhineland-Palatinate Agriculture
2026,The Federal Minister of Finance IV A 7 - S-0353 - 5/78 / IV A 6 - FG-2032 - 35 / 78S-0363S-2170S-0622S-0353S-2297FG-2032G-2032S-2325S-2253S-0363 - 1 / 78S -2170 A - St 22138 - S-0622 - 9/17 - 9191S-0622 - 13 St 21 / 44S-0622 - 20 / St 32III A 11 - S-0353 - 1 / 78S-0353 - 242S-0622 - 2 - 33 1 / S-2297 - 13 - 31 1B / I - 17/79 - S-0353S-0353 - 1 - St 231FG-2032 A - St 111S-2253 - 5 - St 114S-2253 A - St 11 HS-0622 - 25 - StH 442S-0622 - 14 - VA 1S-0363 -S-0622 -S-0353 -S-2297 -FG-2032 -S-2253 -S-0622 - 2 - 33 1 / S-2297 - 13 - 31 1S-0363 | SS-0622 | SS-2297 | FG-2032 | GS-2325 | SS-2297-S-0353 | SBStBl-1979-I-0002AOK-B § 175 AO K 2 repealed by BdF IV C 6 - O-1000 - 86/05 v
2027,"7 6 2005 (coordinated state decree - ""Letter to contain the flood of norms"") Bibliography of the relevant administrative instructions in terms of content: Baden-WürttembergS-0363 - 1/78 of 14/02 / 79OFD Karlsruhe S-2170 A - St 221 of 06/03 / 79Bayern38 - S-0622 - 9/17 - 9191 from 08/02/79 EStK 1977 § 6 K 83OFD Munich S-0622 - 13 St 21/44 from 05/03 / 79OFD Nuremberg S-0622 - 20 / St 32 from 05 / 03 / 79BerlinIII A 11 - S-0353 - 1/78 from 260179 StZBl-1979-0432BremenS-0353 - 242 from 29/01/79 Lower SaxonyS-0622 - 2 - 33 1 / S-2297 - 13 - 31 1 from 020179 AOK- ND § 361 AO K 2OFD Hannover S-0622 - 25 - StH 442 from 08/02 / 79SaarlandB / I - 17/79 - S-0353 / FG-2032 A from 25/01 / 79OFD Saarbrücken S-0353 - 1 - St 231 from 08/03 / 79Schleswig-HolsteinFG-2032 - 92 VI 320a from 020179 EStK 1979 § 15 EStG Karte 437OFD Kiel S-2325 A / FG-2032 A - St 111 from 31/01/79 North Rhine-Westphalia S-0622 - 14 - VA 1 from 31/01/79OFD Cologne S-2253 - 5 - St 114 from 19/02 / 79OFD Düsseldorf S-2253 A - St 11 H from 15/02/79 HessenOFD Frankfur t am Main S-0353 A - 1 St II 40 dated 17/12/85 AO card index § 175/1 AO card 2AO: 175 Hein StB 1979 25 * BdF letter IV A 7 - S-0353 - 9/82 v"
2028,14 5 1982 BStBl 1982 I 550 (new regulation of the procedure for the assertion of negative income from loss allocation companies) * BdF IV A 5 - S-0062 - 38/87 v
2029,24 9 1987 BStBl 1987 I 664 (repeal) BFH decision of 17 5 1978 - I R 50/77 - (BStBl II p
2030,579) and from 19 10 1978 - IV B 34/77 - (BStBl II p
2031,"632) due to suspension of enforcement in the event of an objection to the income tax assessment, which does not take into account a declared but not yet ascertained loss from a participation Reference: BMF-Schnellbrief vom 21 12 1 978 - IV A 7 - S-0353 - 5/78 / IV A 6 - FG-2032 - 35/78 In the opinion of Senate I of the BFH (judgment of May 17, 1978 - IR 50/77 -, BStBl II p"
2032,"579), it is seriously doubtful whether a follow-up decision may be issued before a necessary basic decision"
2033,"For this reason, the I Senate has decided that in the event of an objection to an income tax assessment, enforcement of the disputed amount is to be suspended if a declared but not yet determined loss from participation in a so-called"
2034,Depreciation company has not been taken into account in the decision
2035,"Deviating from this, the IV Senate of the BFH decided in its resolution of October 19, 1978 - IV B 34/77 - (BStBl II p"
2036,"632), aware of the reservations of Senate I, declared it admissible that the residence tax office would issue an income tax assessment before issuing a necessary basic assessment"
2037,"In the opinion of the IV Senate, however, the tax office of the domicile does not have its own audit authority with regard to the tax bases to be determined separately"
2038,"It may therefore only either ignore this tax base entirely or use it at the amount specified in the income tax return, depending on which decision comes closest to the correct tax assessment"
2039,"With reference to the result of the discussion with the highest tax authorities of the federal states, the following applies to the question of what conclusions are to be drawn from these decisions: 1 With regard to the wording of Section 175 AO and in view of the case law of the IV Senate of the BFH, the following applies to assume that it is permissible to issue income tax assessments even if a necessary basic assessment is still missing"
2040,"2 With regard to the substantiation of the amount of loss shares in the assessment procedure, the regulations made so far remain for the time being"
2041,"3 With regard to the resolution of the IV Senate of October 19, 1978, however, in the appeal proceedings against the income tax assessment, the execution of the income tax assessment in the amount of the amount due to the non-consideration of the declared loss, possibly"
2042,"against provision of security, if the company / community has demonstrably already submitted a corresponding declaration of assessment together with the annual financial statements to the tax office responsible for it"
2043,"However, due to the partial suspension of the execution of the income tax assessment, advance payments already made may not be reimbursed (BFH decision of January 27, 1977 BStBl II p"
2044,367)
2045,"4 In the interest of a swift assessment, uniform determinations are to be carried out with preference for loss allocation companies and building owner associations"
2046,"If the declarations for the uniform determination are not submitted in time despite being requested to do so, the loss should be provisionally set at DM 0 or, if necessary,"
2047,to be appreciated
2048,The same applies if the loss allocation company does not comply with its increased duty to cooperate (Section 90 AO) in the case of events abroad
2049,"Addition by OFD Kiel: Regarding number 4, I ask you to take suitable measures to ensure that the uniform determinations are carried out preferentially in the case of loss allocation societies and building owners' associations"
2050,"-------------------- Addition by the Minister of Finance of the State of North Rhine-Westphalia: 1 The regulations made so far to substantiate loss shares in the assessment and prepayment process are in particular mine Decrees of April 10, 1975, May 14, 1976 and April 26, 1978 S-2170 - 61 - VB 1 (see the corresponding BMF letter of the same day: BStBl 1975 IS"
2051,"515, 1976 I p"
2052,320 and 1978 I S
2053,194)
2054,"2 An estimate of the loss in the assessment procedure due to non-submission of the declaration of assessment and the issuing of corresponding assessment notices is only possible if the parties involved in the loss allocation company or building owner association, e"
2055,from the declarations of previous years
2056,"3 Pending suspension proceedings (legal remedies and legal proceedings) are to be reviewed under the aspects of this decree and, if necessary,"
2057,to be concluded by acceptance (settlement of the main thing)
2058,--- Income tax / wage tax / church taxProcedural law / tax codeFederal Republic of Baden-WürttembergBavariaBerlinBremenHesseLower SaxonyNorth Rhine-WestphaliaSaarlandSchleswig-Holstein
2059,Oberfinanzdirektion Düsseldorf S-2330 A - St 121bek
2060,"OFD Münster S-2251 - 1 - St 11 - 31 vom 22/02 / 79S-2330S-2251EStG: 2/1 / 4EStG: 19 Tax treatment of strike support: Metalworkers strike 1978/79 I am sending you a copy of the IG notification Metall, Executive Board Administration Frankfurt / Main, which IG Metall informs the affected works councils or"
2061,Union shop stewards will be sent about the tax treatment of strike support
2062,The communication accurately reflects the legal situation
2063,"Annex: Strike support that a trade union pays its striking members is generally taxable, as is wages paid by the company"
2064,The Federal Fiscal Court decided this in 1970 in a model trial
2065,"The strike support is then seen as compensation for lost wages and therefore belongs, like this, to the so-called income from employment; In the opinion of the tax authorities, strike support is not taxed at the reduced tax rate provided for ""extraordinary income"" (Section 34 (2) Income Tax Act)"
2066,"Naturally, the employer cannot withhold wage tax from the strike support"
2067,They must therefore be reported to the tax office and taxed when assessing income tax
2068,"However, taxation by way of an income tax assessment does not actually take place in all cases"
2069,"In the case of income tax assessment, other income remains (e.g."
2070,from strike support and interest from capital assets) up to certain income limits are not taken into account if this income does not exceed DM 800 in a calendar year
2071,"In addition, an extenuating provision ensures that amounts over DM 800 are taxed less; Taxation only begins in full if the income exceeds DM 1,600 per calendar year"
2072,"This DM 800 special regulation does not apply to persons who are taxed as single persons if their income (here: gross income minus all business expenses, special expenses and extraordinary burdens) exceeds DM 24,000"
2073,"The same applies to those persons to be assessed together with the spouse whose ""income"" is more than DM 48,000 per calendar year"
2074,"It is the same if an assessment for income tax is requested for a special reason, for example to obtain a tax reduction from the ""§ 7b depreciation"" for the single-family house or the condominium"
2075,The strike support must be indicated in the form for applications for annual income tax adjustment and the income tax return
2076,"As far as tax information has to be given for the calendar year 1978, only the part of the strike support that was paid out in the period from the start of the strike to December 31, 1978 is of course to be given"
2077,"If the relevant strike support is reported to the tax office, the tax office will usually be asked to provide proof of the strike support paid (e.g."
2078,"Receipt or certificate from IG Metall), as the amount of the union fees claimed as income-related expenses gives an indication of the amount of strike support"
2079,Income tax / wage tax / church tax North Rhine-Westphalia strike money strike support
2080,The Minister of Finance of the State of North Rhine-Westphalia S-2198 - 3 - V B 2 -bek
2081,OFD Cologne S-2198 - 4 - St 114 from 20/03 / 79bek
2082,OFD Düsseldorf S-2198 A - St 11 H from 13/03 / 79S-2198EStK § 21 EStG A 63ModEnG: 5/3 Modernization and Energy Saving Act - ModEnG - from 27 6 1978; here: monitoring of the prohibition of cumulation according to
2083,Section 5 (3) ModEnG Reference: Decrees of 20 7 1978 of 23 8 1978 and of 27 11 1978 S-2198 - 3 - V B 2; Meeting with Mr. § 82a EStDV) and 3 expenses for maintenance costs for owner-occupied single-family houses within the meaning of § 82a Abs 3 EStDV i
2084,the second regulation amending the EStDV 1977 the promotion of the same measure according to the Modernization and Energy Saving Act (only energy saving program and federal-state program)
2085,"In accordance with Section 13 (7) ModEnG, the owner has to undertake in the relevant cases to repay the subsidies received, provided that he takes advantage of a tax break of the type described above for the same structural measure"
2086,"To the extent described, there is a prohibition on cumulation of the types of funding"
2087,"According to this, the prohibition of cumulation states that this tax advantage excludes the extra-tax incentive, but not the other way around the extra-tax incentive excludes the tax relief"
2088,"The tax concessions are to be granted if the conditions specified in the Tax Act are met, even if it is certain that non-tax subsidies have been granted under the ModEnG"
2089,The grant granted is then possibly
2090,to repay
2091,"The decision as to whether there is an accumulation case is therefore made solely by the licensing authority, i"
2092,"to be met by the municipality, not by the tax office"
2093,"However, this must provide the licensing authority with the necessary factual information so that the licensing authority can make its decision"
2094,"II For this purpose, proceed as follows: 1 The licensing authorities send the tax offices that are responsible for the assessment of the respective applicant a copy of the approval notice (decree of 20 7 1978 S-2198 - 3 - V B 2)"
2095,"The tax number of the applicant results from this copy of the approval notification, provided that this has already been recorded for tax purposes, since the tax number must be specified in the application"
2096,"In the application form, the applicant also declares his consent to the tax office informing the granting authority about the use of a tax advantage"
2097,"In the approval notification (model Mod 2) under D (conditions and information) at No. 2 it is expressly stated: ""You have agreed that the tax office may inform the licensing authority about any use of a tax break within the meaning of Section 5 (3) sentence 2 ModEnG or an investment grant"
2098,"""Insofar as the applicants are already listed for tax purposes, the copies of the approval notices must be included in the tax files"
2099,"Otherwise, they are to be stored in the tax office in a central alphabetical order"
2100,"2 If, in individual cases, an application is made for a tax break of the type mentioned in Section 5 (3) ModEnG, this must be granted, provided that the tax law requirements are met"
2101,"If, in such a case, based on the copy of the approval notification, the taxpayer has been granted a subsidy, the granting authority must be informed with reference to the file number of this authority"
2102,"The facts brought forward by the taxpayer and the tax benefit to be granted must be reported, whereby it is sufficient to make a statement as to whether the benefit falls under Section 5 (3) sentence 2 ModEnG"
2103,"The preparation of a form for the notification to the granting authority is to be refrained from for the time being, since it can be assumed that the number of relevant cases is likely to be very low in view of the clear prohibition of cumulation and the control procedure known to the beneficiary"
2104,"According to this, the tax office (sub-district) has to check in those cases in which a benefit of the above-mentioned type is claimed whether a copy of a notification of approval is available"
2105,"This will be in the V files, if any"
2106,"The first time an assessment is made, it must be checked whether a notification of approval has been filed centrally"
2107,"If the tax return is processed at the transfer point, a submission to the APSt is required anyway if deductions for wear and tear, increased deductions and special depreciation for buildings are noticeably claimed for the first time (reference to the flowchart for subject 2 part 2 page 10 ALDA Fest No. 15 06)"
2108,The APSt must therefore proceed in the same way as the subdistrict (see above)
2109,"III On the question of the amount of tax relief in the case of a grant that has already been granted, which may then"
2110,"I refer to the new version of section 163 of the income tax guidelines based on the income tax supplement guidelines 1978. According to the income tax return forms for 1978 (Appendix V, lines 15 and 55, Appendix GSE, lines 25 and 52), the taxpayer must declare whether grants have been granted in accordance with the ModEnG in the assessment year have been"
2111,"If such subsidies were granted during the assessment period, the transfer from the takeover point to the APSt must also be made if increased deductions and special depreciation for buildings are not claimed for the first time"
2112,The APSt (possibly
2113,"the sub-district) has to check whether there is a notification of approval and, if so, notify the approval authority as described above"
2114,"If there are any difficulties in carrying out the above procedure, please report me"
2115,Tax Promotion Act Income tax / wage tax / church tax North Rhine-Westphalia
2116,Oberfinanzdirektion KölnS-2230 - 55 - St 113S-2230 -EStG: 4 / 1EStG: 4 / 3EStG: 13a Income tax assessment of farmers and foresters for the assessment period 19831a) Maximum permitted number of animals in livestock units (VE) according to § 13a Paragraph 1 No. 3 EStG and § 13 Paragraph 1 No. 1 EStG (see Section 2) b) Animal husbandry settled with the starting amount (Section 521) in VE with an estimate of the profit according to standard rates (Section 5232) 2 examples for calculating the value of work (Section 13a Paragraph 5 EStG) 1 The assessment decisions for farmers and foresters will be published in full in future
2117,Changes to the text below are indicated by vertical lines
2118,2 Determination of the profit from agriculture and forestry according to average rates (§ 13a EStG) 21 Scope of application Supplementary to Section 127 Paragraphs 3 - 10 EStR and No. 2 of the introductory letter of the Federal Ministry of Finance of 27 03 1981 (BStBl 1981 I p
2119,282) the following is pointed out: 211 Regarding Section 13a Paragraph 1 No. 2 EStG (initial value limit) The initial value determined in accordance with Section 13a Paragraph 4 EStG is decisive
2120,Cattle surcharges can therefore not be taken into account as long as they have not been made the subject of a value update by the valuation body in accordance with §§ 41 in conjunction with 22 para. 1 no. 1 BewG
2121,Something else only applies if the requirements of Section 13a Paragraph 4 No. 1 Sentence 4 EStG are met
2122,212 On Section 13a Paragraph 1 No. 3 EStG (animal population limit) According to Section 127 Paragraph 7 EStR and No. 22 of the introductory letter of 27 03 1981 a
2123,", is to be applied accordingly when examining the VE limits of Section 13a Paragraph 1 No. 3 EStG Section 124a EStR"
2124,The prerequisite for the elimination of the calculation of the average rate of profit is that the number of VE sustainably exceeds the limits of Section 13a (1) No. 3 EStG
2125,"For the term sustainability, reference is made to Section 135 (4) EStR"
2126,"In the case of a gradual increase in the number of animals, it therefore depends on whether the number of animals converted into VE has been above the limits of Section 13a (1) No. 3 EStG over the three preceding financial years"
2127,"If, as determined by the tax office, the number of animals has exceeded the maximum permitted limits in three consecutive financial years, the requirements of Section 13a (1) No. 3 EStG are no longer met from the beginning of the fourth financial year"
2128,"If, on the other hand, the livestock are increased in one go well beyond the maximum permissible limits - e.g."
2129,"in connection with an expansion of the stable capacities - so that the livestock limits can also be expected in the following financial years, the requirements of Section 13a (1) No. 3 EStG do not apply from the time the maximum limits are exceeded for the first time"
2130,"The maximum number of animals permitted in accordance with Section 13a Paragraph 1 No. 3 and Section 13 Paragraph 1 No. 1 EStG, converted into VE, can be found in the overview attached as Annex 1"
2131,22 Determination of profit The scheme for determining profit according to § 13a Paragraph 3 to 8 EStG results from the form Annex ESt 2 L (80) - Profit determination according to § 13a EStG -
2132,"In detail, I would like to point out the following: 221 Basic amount When determining the basic amount according to Section 13a Paragraph 4 EStG, Section 130a Paragraph 3 EStR must be observed"
2133,"222 Value of the work performance In the case of the basic amount according to Section 13a (4) EStG, it is assumed that the business is managed exclusively with paid workers (see Section 36 (2) BewG)"
2134,The value of the work performed by the business owner and his relatives who are not employed in the company on the basis of an employment relationship to be determined in accordance with Section 13a (5) EStG must therefore be added to the basic amount (Section 13a (3) No. 2 EStG)
2135,"Section 130a, Paragraphs 4 to 6 EStR must be observed here"
2136,"In detail, the following is pointed out: When determining the value of the work performance for the physical cooperation of the business owner and the relatives who are not employed, only the work performance is to be taken into account in the result, which is based on the area recorded in the initial value according to § 13a Paragraph 4 EStG in the individual case not applicable"
2137,The paid workers are to be counted towards the appropriate number of full-time workers (VAK) according to the duration of their employment (§ 13a Abs 5 Nr 5 EStG)
2138,"This also applies to temporary workers employed on a short-term basis, as well as to workers who have been made available by contractors for certain ordering, maintenance or harvesting work"
2139,For the crediting of the paid VAK
2140,"a breakdown of the wages is necessary, as far as it relates to the uses contained in the initial value (§ 13a Abs 4 EStG) and to the uses not contained therein"
2141,"the activities of other people (relatives, third parties) in the company or no or obviously incorrect information on the part of the work attributable to special uses, the (physical) work or"
2142,"the proportion of the work performed by the business owner, the relatives employed in the business and / or the remunerated workers, if applicable"
2143,with the assistance of the responsible official agricultural expert (ALS)
2144,The table in the Felsmann comment in Section C 219 on the average labor requirement for special branches of business can also serve as a guide to determine the share that is attributable to special uses
2145,The value of the work is to be calculated for owners of a part-time business in accordance with the order of 15 12 1982 S-2230 - 52 - St 113 and Section 130 Paragraph 4 Sentence 7 EStR
2146,"For examples of calculating the value of the work, see Annex 2223 Rent collected. Reference is made to Section 13a (6) sentence 2 EStG and Section 130a (7) EStR"
2147,The rent received also includes income from ground rent
2148,Income from hunting leases is compensated by the basic amount as it relates to areas included in the initial value
2149,224 Profits according to Section 13a Paragraph 8 EStG Reference is made to Section 13a Paragraph 8 EStG and Section 130a Paragraph 8 EStR
2150,"In addition, please note the following: Profits from operations that were not taken into account when determining the initial value are, for example,"
2151,"Additional profits from the sale of breeding cattle and other particularly valuable animals (see Section 2241), profits from renting rooms to holiday guests and camping sites (ESt-Kartei NW §§ 13 13a EStG A No. 82), interest income, insofar as the capital claim is attributable to the business assets is, profits from riding schools and rental of own horses, insofar as it concerns income from agriculture and forestry, profits from secondary employment, profits from investments that belong to the agricultural and forestry business assets, profits from the keeping and care of retired animals, profits from the rearing of animals in a wage system"
2152,"Profits from the cross-company use of machines, which are achieved in the context of agriculture and forestry, are not to be recorded according to Section 13a (8) No. 3 EStG"
2153,You have already been paid for by applying the basic amount (ESt-Kartei NW §§ 13 13a EStG A Nr 103)
2154,The profits (additional profits) according to § 13a Paragraph 8 EStG are basically to be determined by comparing the operating income and operating expenses (§ 4 Paragraph 3 EStG)
2155,"If no records are available, the profits (additional profits) are to be estimated according to the principles of Section 4 Paragraph 1 EStG (Section 130a Paragraph 8 Sentences 8 - 11 EStR)"
2156,"When estimating the profits (additional profits) from sales of breeding cattle and other particularly valuable animals as well as from vegetable growing and intensive fruit growing in the context of horticultural use, the following guidelines can serve as a guide"
2157,Their application must not lead to an obviously incorrect taxation (see BFH judgment of 16 12 1965 BStBl 1966 III p
2158,193)
2159,"2241 Sales of breeding cattle and other valuable animals As additional profit from the sale of breeding cattle and other particularly valuable animals, 80 per cent"
2160,"the amount by which the individual sales proceeds including sales tax exceed the following starting values ​​(normal prices): Breeding bulls 2600 DMBreeding cows2200 DMBreeding cattle2000 DMBreeding boars and sows700 DMBreeding and riding horses3000 DMWages for paid workers, insurance and sales costs, etc."
2161,") are taken into account in the level of these initial values, so they cannot be deducted separately"
2162,The same procedure is then to be followed if above-average prices are obtained for breeding animals other than those specified or for other valuable animals
